,index,genres,id,keywords,original_title,release_date,revenue,status,title,cast,director
0,0,'Action Adventure Fantasy Science Fiction',19995,'culture clash future space war space colony society',Avatar,2009-12-10,2787965087,Released,Avatar,'Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez','James Cameron'
1,1,'Adventure Fantasy Action',285,'ocean drug abuse exotic island east india trading company love of one\'s life','Pirates of the Caribbean: At World\'s End',2007-05-19,961000000,Released,'Pirates of the Caribbean: At World\'s End','Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\\u00e5rd Chow Yun-fat','Gore Verbinski'
2,2,'Action Adventure Crime',206647,'spy based on novel secret agent sequel mi6',Spectre,2015-10-26,880674609,Released,Spectre,'Daniel Craig Christoph Waltz L\\u00e9a Seydoux Ralph Fiennes Monica Bellucci','Sam Mendes'
3,3,'Action Crime Drama Thriller',49026,'dc comics crime fighter terrorist secret identity burglar','The Dark Knight Rises',2012-07-16,1084939099,Released,'The Dark Knight Rises','Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy','Christopher Nolan'
4,4,'Action Adventure Science Fiction',49529,'based on novel mars medallion space travel princess','John Carter',2012-03-07,284139100,Released,'John Carter','Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden Church','Andrew Stanton'
5,5,'Fantasy Action Adventure',559,'dual identity amnesia sandstorm love of one\'s life forgiveness','Spider-Man 3',2007-05-01,890871626,Released,'Spider-Man 3','Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace','Sam Raimi'
6,6,'Animation Family',38757,'hostage magic horse fairy tale musical',Tangled,2010-11-24,591794936,Released,Tangled,'Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. Gainey','Byron Howard'
7,7,'Action Adventure Science Fiction',99861,'marvel comic sequel superhero based on comic book vision','Avengers: Age of Ultron',2015-04-22,1405403694,Released,'Avengers: Age of Ultron','Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson','Joss Whedon'
8,8,'Adventure Fantasy Family',767,'witch magic broom school of witchcraft wizardry','Harry Potter and the Half-Blood Prince',2009-07-07,933959197,Released,'Harry Potter and the Half-Blood Prince','Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon','David Yates'
9,9,'Action Adventure Fantasy',209112,'dc comics vigilante superhero based on comic book revenge','Batman v Superman: Dawn of Justice',2016-03-23,873260194,Released,'Batman v Superman: Dawn of Justice','Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg','Zack Snyder'
10,10,'Adventure Fantasy Action Science Fiction',1452,'saving the world dc comics invulnerability sequel superhero','Superman Returns',2006-06-28,391081192,Released,'Superman Returns','Brandon Routh Kevin Spacey Kate Bosworth James Marsden Parker Posey','Bryan Singer'
11,11,'Adventure Action Thriller Crime',10764,'killing undercover secret agent british secret service','Quantum of Solace',2008-10-30,586090727,Released,'Quantum of Solace','Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo Giannini','Marc Forster'
12,12,'Adventure Fantasy Action',58,'witch fortune teller bondage exotic island monster','Pirates of the Caribbean: Dead Man\'s Chest',2006-06-20,1065659812,Released,'Pirates of the Caribbean: Dead Man\'s Chest','Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\\u00e5rd Bill Nighy','Gore Verbinski'
13,13,'Action Adventure Western',57201,'texas horse survivor texas ranger partner','The Lone Ranger',2013-07-03,89289910,Released,'The Lone Ranger','Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge Dale','Gore Verbinski'
14,14,'Action Adventure Fantasy Science Fiction',49521,'saving the world dc comics superhero based on comic book superhuman','Man of Steel',2013-06-12,662845518,Released,'Man of Steel','Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane Lane','Zack Snyder'
15,15,'Adventure Family Fantasy',2454,'based on novel fictional place brother sister relationship lion human being','The Chronicles of Narnia: Prince Caspian',2008-05-15,419651413,Released,'The Chronicles of Narnia: Prince Caspian','Ben Barnes William Moseley Anna Popplewell Skandar Keynes Georgie Henley','Andrew Adamson'
16,16,'Science Fiction Action Adventure',24428,'new york shield marvel comic superhero based on comic book','The Avengers',2012-04-25,1519557910,Released,'The Avengers','Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson','Joss Whedon'
17,17,'Adventure Action Fantasy',1865,'sea captain mutiny sword prime minister','Pirates of the Caribbean: On Stranger Tides',2011-05-14,1045713802,Released,'Pirates of the Caribbean: On Stranger Tides','Johnny Depp Pen\\u00e9lope Cruz Ian McShane Kevin McNally Geoffrey Rush','Rob Marshall'
18,18,'Action Comedy Science Fiction',41154,'time travel time machine alien fictional government agency seeing the future','Men in Black 3',2012-05-23,624026776,Released,'Men in Black 3','Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma Thompson','Barry Sonnenfeld'
19,19,'Action Adventure Fantasy',122917,'corruption elves dwarves orcs middle-earth (tolkien)','The Hobbit: The Battle of the Five Armies',2014-12-10,956019788,Released,'The Hobbit: The Battle of the Five Armies','Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish','Peter Jackson'
20,20,'Action Adventure Fantasy',1930,'loss of father vigilante serum marvel comic scientific experiment','The Amazing Spider-Man',2012-06-27,752215857,Released,'The Amazing Spider-Man','Andrew Garfield Emma Stone Rhys Ifans Denis Leary Campbell Scott','Marc Webb'
21,21,'Action Adventure',20662,'robin hood archer knight sherwood forest bow and arrow','Robin Hood',2010-05-12,310669540,Released,'Robin Hood','Russell Crowe Cate Blanchett Max von Sydow William Hurt Mark Strong','Ridley Scott'
22,22,'Adventure Fantasy',57158,'elves dwarves orcs hobbit dragon','The Hobbit: The Desolation of Smaug',2013-12-11,958400000,Released,'The Hobbit: The Desolation of Smaug','Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish','Peter Jackson'
23,23,'Adventure Fantasy',2268,'england compass experiment lordship uncle','The Golden Compass',2007-12-04,372234864,Released,'The Golden Compass','Dakota Blue Richards Nicole Kidman Daniel Craig Sam Elliott Eva Green','Chris Weitz'
24,24,'Adventure Drama Action',254,'film business screenplay show business film making film producer','King Kong',2005-12-14,550000000,Released,'King Kong','Naomi Watts Jack Black Adrien Brody Thomas Kretschmann Colin Hanks','Peter Jackson'
25,25,'Drama Romance Thriller',597,'shipwreck iceberg ship panic titanic',Titanic,1997-11-18,1845034188,Released,Titanic,'Kate Winslet Leonardo DiCaprio Frances Fisher Billy Zane Kathy Bates','James Cameron'
26,26,'Adventure Action Science Fiction',271110,'civil war war marvel comic sequel superhero','Captain America: Civil War',2016-04-27,1153304495,Released,'Captain America: Civil War','Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony Mackie','Anthony Russo'
27,27,'Thriller Action Adventure Science Fiction',44833,'fight u.s. navy mind reading hong kong soccer',Battleship,2012-04-11,303025485,Released,Battleship,'Taylor Kitsch Alexander Skarsg\\u00e5rd Rihanna Brooklyn Decker Tadanobu Asano','Peter Berg'
28,28,'Action Adventure Science Fiction Thriller',135397,'monster dna tyrannosaurus rex velociraptor island','Jurassic World',2015-06-09,1513528810,Released,'Jurassic World','Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D\'Onofrio Nick Robinson','Colin Trevorrow'
29,29,'Action Adventure Thriller',37724,'spy secret agent sociopath killer art gallery',Skyfall,2012-10-25,1108561013,Released,Skyfall,'Daniel Craig Judi Dench Javier Bardem Ralph Fiennes Naomie Harris','Sam Mendes'
30,30,'Action Adventure Fantasy',558,'dual identity love of one\'s life pizza boy marvel comic sequel','Spider-Man 2',2004-06-25,783766341,Released,'Spider-Man 2','Tobey Maguire Kirsten Dunst James Franco Alfred Molina Rosemary Harris','Sam Raimi'
31,31,'Action Adventure Science Fiction',68721,'terrorist war on terror tennessee malibu marvel comic','Iron Man 3',2013-04-18,1215439994,Released,'Iron Man 3','Robert Downey Jr. Gwyneth Paltrow Don Cheadle Guy Pearce Rebecca Hall','Shane Black'
32,32,'Family Fantasy Adventure',12155,'based on novel fictional place queen fantasy alice in wonderland','Alice in Wonderland',2010-03-03,1025491110,Released,'Alice in Wonderland','Mia Wasikowska Johnny Depp Anne Hathaway Helena Bonham Carter Crispin Glover','Tim Burton'
33,33,'Adventure Action Science Fiction Thriller',36668,'mutant marvel comic based on comic book superhuman beast','X-Men: The Last Stand',2006-05-24,459359555,Released,'X-Men: The Last Stand','Hugh Jackman Halle Berry Ian McKellen Patrick Stewart Famke Janssen','Brett Ratner'
34,34,'Animation Family',62211,'monster dormitory games animation best friend','Monsters University',2013-06-20,743559607,Released,'Monsters University','Billy Crystal John Goodman Steve Buscemi Helen Mirren Noah Johnston','Dan Scanlon'
35,35,'Science Fiction Action Adventure',8373,'egypt sun chaos symbol artifact','Transformers: Revenge of the Fallen',2009-06-19,836297228,Released,'Transformers: Revenge of the Fallen','Shia LaBeouf Megan Fox Josh Duhamel Rainn Wilson Tyrese Gibson','Michael Bay'
36,36,'Science Fiction Action Adventure',91314,'sequel alien transformers giant robot robot','Transformers: Age of Extinction',2014-06-25,1091405097,Released,'Transformers: Age of Extinction','Mark Wahlberg Stanley Tucci Kelsey Grammer Nicola Peltz Jack Reynor','Michael Bay'
37,37,'Fantasy Adventure Family',68728,'circus witch magic hope illusion','Oz: The Great and Powerful',2013-03-07,491868548,Released,'Oz: The Great and Powerful','James Franco Mila Kunis Rachel Weisz Michelle Williams Zach Braff','Sam Raimi'
38,38,'Action Adventure Fantasy',102382,'obsession marvel comic sequel based on comic book electrocution','The Amazing Spider-Man 2',2014-04-16,705717432,Released,'The Amazing Spider-Man 2','Andrew Garfield Emma Stone Jamie Foxx Dane DeHaan Campbell Scott','Marc Webb'
39,39,'Adventure Action Science Fiction',20526,'artificial intelligence secret identity computer program dystopia computer','TRON: Legacy',2010-12-10,400062763,Released,'TRON: Legacy','Garrett Hedlund Jeff Bridges Olivia Wilde Bruce Boxleitner Yaya DaCosta','Joseph Kosinski'
40,40,'Animation Family Adventure Comedy',49013,'car race sequel comedy anthropomorphism best friend','Cars 2',2011-06-11,559852396,Released,'Cars 2','Owen Wilson Larry the Cable Guy Michael Caine Emily Mortimer John Turturro','John Lasseter'
41,41,'Adventure Action Thriller Science Fiction',44912,'dc comics transformation superhero alien alien infection','Green Lantern',2011-06-16,219851172,Released,'Green Lantern','Ryan Reynolds Blake Lively Peter Sarsgaard Tim Robbins Mark Strong','Martin Campbell'
42,42,'Animation Family Comedy',10193,'hostage college toy barbie animation','Toy Story 3',2010-06-16,1066969703,Released,'Toy Story 3','Tom Hanks Tim Allen Ned Beatty Joan Cusack Michael Keaton','Lee Unkrich'
43,43,'Action Science Fiction Thriller',534,'saving the world artificial intelligence prophecy san francisco cyborg','Terminator Salvation',2009-05-20,371353001,Released,'Terminator Salvation','Christian Bale Sam Worthington Anton Yelchin Moon Bloodgood Bryce Dallas Howard',McG
44,44,Action,168259,'car race speed revenge suspense car','Furious 7',2015-04-01,1506249360,Released,'Furious 7','Vin Diesel Paul Walker Dwayne Johnson Michelle Rodriguez Tyrese Gibson','James Wan'
45,45,'Action Drama Horror Science Fiction Thriller',72190,'dystopia apocalypse zombie nuclear weapons multiple perspectives','World War Z',2013-06-20,531865000,Released,'World War Z','Brad Pitt Mireille Enos Abigail Hargrove Sterling Jerins James Badge Dale','Marc Forster'
46,46,'Action Adventure Fantasy Science Fiction',127585,'1970s mutant time travel marvel comic based on comic book','X-Men: Days of Future Past',2014-05-15,747862775,Released,'X-Men: Days of Future Past','Hugh Jackman James McAvoy Michael Fassbender Jennifer Lawrence Halle Berry','Bryan Singer'
47,47,'Action Adventure Science Fiction',54138,'spacecraft friendship sequel futuristic space','Star Trek Into Darkness',2013-05-05,467365246,Released,'Star Trek Into Darkness','Chris Pine Zachary Quinto Zoe Saldana Karl Urban Simon Pegg','J.J. Abrams'
48,48,'Action Family Fantasy',81005,'based on fairy tale giant','Jack the Giant Slayer',2013-02-27,197687603,Released,'Jack the Giant Slayer','Nicholas Hoult Eleanor Tomlinson Ewan McGregor Stanley Tucci Ian McShane','Bryan Singer'
49,49,'Drama Romance',64682,'based on novel infidelity obsession hope 3d','The Great Gatsby',2013-05-10,351040419,Released,'The Great Gatsby','Leonardo DiCaprio Tobey Maguire Carey Mulligan Joel Edgerton Elizabeth Debicki','Baz Luhrmann'
50,50,'Adventure Fantasy Action Romance',9543,'persia sandstorm brother against brother armageddon regent','Prince of Persia: The Sands of Time',2010-05-19,335154643,Released,'Prince of Persia: The Sands of Time','Jake Gyllenhaal Gemma Arterton Ben Kingsley Alfred Molina Steve Toussaint','Mike Newell'
51,51,'Action Science Fiction Adventure',68726,'dystopia giant robot giant monster apocalypse imax','Pacific Rim',2013-07-11,407602906,Released,'Pacific Rim','Idris Elba Charlie Hunnam Charlie Day Ron Perlman Burn Gorman','Guillermo del Toro'
