,index,titelId,title,averageRating,numVotes
0,0,tt0000001,Carmencita,5.7,1676
1,1,tt0000002,'Le clown et ses chiens',6.1,208
2,2,tt0000003,'Pauvre Pierrot',6.5,1404
3,3,tt0000004,'Un bon bock',6.2,123
4,4,tt0000005,'Blacksmith Scene',6.2,2200
5,5,tt0000006,'Chinese Opium Den',5.3,120
6,6,tt0000007,'Corbett and Courtney Before the Kinetograph',5.4,672
7,7,tt0000008,'Edison Kinetoscopic Record of a Sneeze',5.4,1851
8,8,tt0000009,'Miss Jerry',6.0,156
9,9,tt0000010,'La sortie de l\'usine Lumire  Lyon',6.9,6191
10,10,tt0000011,'Akrobatisches Potpourri',5.2,275
11,11,tt0000012,'L\'arrive d\'un train  La Ciotat',7.4,10623
12,12,tt0000013,'Neuville-sur-Sane: Dbarquement du congrs des photographes  Lyon',5.7,1603
13,13,tt0000014,'L\'arroseur arros',7.1,4736
14,14,tt0000015,'Autour d\'une cabine',6.1,849
15,15,tt0000016,'Barque sortant du port',5.9,1225
16,16,tt0000017,'Italienischer Bauerntanz',4.6,248
17,17,tt0000018,'Das boxende Knguruh',5.3,492
18,18,tt0000020,'The Derby 1895',4.9,276
19,19,tt0000022,'Les forgerons',5.1,913
20,20,tt0000023,'Baignade en mer',5.7,1174
21,21,tt0000024,'Opening of the Kiel Canal',4.4,58
22,22,tt0000026,'Partie d\'cart',5.7,1328
23,23,tt0000027,'Place des Cordeliers  Lyon',5.6,945
24,24,tt0000028,'La pche aux poissons rouges',5.2,877
25,25,tt0000029,'Repas de bb',6.0,2924
26,26,tt0000030,'Rough Sea at Dover',5.2,705
27,27,tt0000031,'Le saut  la couverture',5.5,851
28,28,tt0000032,'Die Serpentintnzerin',5.1,347
29,29,tt0000033,'La voltige',5.6,870
30,30,tt0000034,'Arrive d\'un train gare de Vincennes',5.1,139
31,31,tt0000035,'L\'arroseur',5.5,56
32,32,tt0000036,'Awakening of Rip',4.4,503
33,33,tt0000037,'Baignade en mer',4.5,40
34,34,tt0000040,'Barque sortant du port de Trouville',4.2,37
35,35,tt0000041,'Bataille de neige',6.7,1509
36,36,tt0000042,'Bateau-mouche sur la Seine',4.5,21
37,37,tt0000045,'Les blanchisseuses',4.5,16
38,38,tt0000046,'Bois de Boulogne',4.2,16
39,39,tt0000050,'Bb et fillettes',4.2,13
40,40,tt0000051,'Campement de bohmiens',3.7,14
41,41,tt0000052,'Carga de rurales',4.5,64
42,42,tt0000054,'Les chevaux de bois',5.2,18
43,43,tt0000057,'Cortge de tzar allant  Versailles',4.4,14
44,44,tt0000058,'Cortge de tzar au Bois de Boulogne',4.2,13
45,45,tt0000059,'Couronnement de la rosire',3.5,13
46,46,tt0000063,'Dessinateur express',3.4,12
47,47,tt0000067,'Dix chapeaux en 60 secondes',5.8,41
48,48,tt0000068,'Dchargement de bateaux',3.6,11
49,49,tt0000069,'Dfense d\'afficher',4.8,357
50,50,tt0000070,'Dmolition d\'un mur',6.4,2313
51,51,tt0000071,'Dpart des automobiles',3.5,14
52,52,tt0000072,'Dpart des officiers',4.2,13
53,53,tt0000073,'Effets de mer sur les rochers',3.6,11
54,54,tt0000074,'Enfants jouant sur la plage',4.6,15
55,55,tt0000075,'Escamotage d\'une dame au thtre Robert Houdin',6.3,1611
56,56,tt0000076,'Exit of Rip and the Dwarf',4.5,444
57,57,tt0000078,'Feira de Gado na Corujeira',4.1,52
58,58,tt0000080,'Grandes manoeuvres',4.1,12
59,59,tt0000081,'Les haleurs de bateaux',4.2,13
60,60,tt0000082,'A Hard Wash',4.8,24
61,61,tt0000083,'Les indiscrets',4.7,18
62,62,tt0000084,'Les ivrognes',4.4,14
63,63,tt0000085,'Jardinier brlant des herbes',4.7,15
64,64,tt0000086,'Jete et plage de Trouville (1er partie)',4.2,13
65,65,tt0000087,'Jete et plage de Trouville (2e partie)',4.8,17
66,66,tt0000088,'Jour de march  Trouville',4.7,14
67,67,tt0000089,'Dpart de Jrusalem en chemin de fer',6.2,847
68,68,tt0000090,'Libration des territoriaux',4.0,13
69,69,tt0000091,'Le manoir du diable',6.7,2922
70,70,tt0000092,'Mare montante sur Brise-Larmes',4.6,11
71,71,tt0000094,'Miss de Vere',4.4,14
72,72,tt0000095,'Le papier prote',4.8,19
73,75,tt0000100,'Place de la Concorde',5.0,32
74,76,tt0000102,'Plage de Villiers par gros temps',4.8,12
75,77,tt0000103,'Plus fort que le matre',5.8,14
76,78,tt0000104,'Pompiers  Lyon',5.5,393
77,79,tt0000105,'Les quais  Marseille',5.5,12
78,80,tt0000107,'Revue navale  Cherbourg',5.7,12
79,81,tt0000108,'Rip Leaving Sleepy Hollow',4.4,454
80,82,tt0000109,'Rip Meeting the Dwarf',4.5,444
81,83,tt0000110,'Rip Passing Over the Mountain',4.4,449
82,84,tt0000111,'Rip\'s Toast',4.5,457
83,85,tt0000112,'Rip\'s Toast to Hudson',4.5,446
84,86,tt0000113,'Rip\'s Twenty Years\' Sleep',4.4,461
85,87,tt0000114,'Le rgiment',5.5,13
86,88,tt0000115,'Runion d\'officiers',5.0,16
87,89,tt0000117,'Sada do Pessoal Operrio da Fbrica Confiana',5.2,126
88,92,tt0000121,'The Soldier\'s Courtship',4.5,54
89,93,tt0000122,'Sortie des ateliers Vibert',5.5,13
90,94,tt0000123,'Sance de prestidigitation',5.7,78
91,95,tt0000124,'Tempte sur la jete du treport',5.6,14
92,96,tt0000126,'Tom Old Boot',5.8,15
93,97,tt0000128,'Un lyce de jeunes filles',5.9,23
94,98,tt0000129,'Un petit diable',6.7,34
95,99,tt0000131,'Une nuit terrible',5.8,1119
96,100,tt0000132,'Une partie de cartes',5.1,892
97,101,tt0000135,'A Watermelon Feast',6.7,51
98,102,tt0000138,'L\'auberge ensorcele',6.5,903
99,103,tt0000140,'Baignade dans le torrent',5.0,228
100,104,tt0000143,'Les cambrioleurs',4.9,204
101,105,tt0000144,'Chez le magntiseur',5.1,235
102,106,tt0000146,'Le cocher de fiacre endormi',5.2,14
103,107,tt0000147,'The Corbett-Fitzsimmons Fight',5.2,365
104,108,tt0000148,'Le Coucher d\'Yvette',3.7,6
105,109,tt0000149,'Dans les coulisses',4.7,9
106,110,tt0000151,'Faust et Marguerite',5.2,34
107,111,tt0000152,'L\'hallucination de l\'alchimiste',6.1,183
108,112,tt0000153,'The Haunted Castle',5.7,351
109,113,tt0000155,'Le magntiseur',4.9,12
110,114,tt0000156,'L\'htel empoisonn',4.1,10
111,115,tt0000159,'Le cabinet de Mphistophls',5.3,72
112,116,tt0000162,'Les chutes',5.3,401
113,117,tt0000164,'Le pcheur dans le torrent',5.0,233
114,118,tt0000169,'Slagsml i gamla Stockholm',4.0,26
115,119,tt0000172,'The X-Ray Fiend',6.1,710
116,120,tt0000174,'Vstavn prkar a lepic plakt',4.7,105
117,121,tt0000175,'A Sea Cave Near Lisbon',5.0,172
118,122,tt0000179,'La caverne maudite',4.4,22
119,123,tt0000181,Cinderella,6.7,36
120,125,tt0000183,'The Corsican Brothers',6.1,17
121,126,tt0000184,'Cripple Creek Bar-Room Scene',4.8,269
122,127,tt0000190,'Dostavencko ve mlnici',5.1,116
123,128,tt0000208,'The Miller and the Sweep',5.7,475
124,129,tt0000210,'Les rayons Rntgen',5.2,16
125,130,tt0000211,'La lune  un mtre',7.5,3499
126,131,tt0000213,'Scne d\'escamotage',4.6,189
127,132,tt0000215,'Smch a plc',4.1,101
128,133,tt0000218,'L\'affaire Dreyfus',5.9,513
129,134,tt0000222,'Au cabaret',4.6,191
130,135,tt0000225,'La belle et la bte',5.1,18
131,136,tt0000228,'La bonne absinthe',4.9,222
132,137,tt0000229,'Casey at the Bat',4.4,85
133,138,tt0000230,Cendrillon,6.5,1385
134,139,tt0000231,'Portuguese Railway Train',3.6,7
135,140,tt0000234,Cloptre,6.0,39
136,141,tt0000235,'La colonne de feu',6.2,597
137,142,tt0000240,'Distributing a War Extra',4.4,53
138,143,tt0000242,'Le diable au couvent',6.3,953
139,144,tt0000246,'L\'impressionniste fin de sicle',6.4,921
140,145,tt0000247,'King John',5.0,412
141,146,tt0000248,'The Kiss in the Tunnel',6.0,1360
142,147,tt0000261,'Un bon lit',5.6,47
143,148,tt0000264,'vocation spirite',5.7,365
144,149,tt0000265,'Above the Limit',4.4,102
145,150,tt0000269,'Army Life',4.9,100
146,151,tt0000272,'As Seen Through a Telescope',5.6,696
147,152,tt0000273,'Attack on a China Mission',5.6,499
148,153,tt0000284,'Chez le photographe',5.3,186
149,154,tt0000285,'Chinese Magic',5.0,6
150,155,tt0000286,'Chirurgie fin de sicle',5.6,186
151,156,tt0000299,'Le dpart d\'Arlequin et de Pierrette',5.5,191
152,157,tt0000300,'The Enchanted Drawing',6.9,1074
153,158,tt0000301,'Faust and Marguerite',4.4,326
154,160,tt0000304,'Grandma\'s Reading Glass',6.0,1053
155,161,tt0000306,'Le duel d\'Hamlet',5.4,176
156,162,tt0000308,'The House That Jack Built',5.6,69
157,163,tt0000309,'How It Feels to Be Run Over',6.1,745
158,164,tt0000313,'Let Me Dream Again',5.8,679
159,165,tt0000319,Momijigari,5.8,144
160,166,tt0000335,'Soldiers of the Cross',6.0,39
161,167,tt0000341,'Uncle Josh\'s Nightmare',4.9,299
162,168,tt0000346,'Another Job for the Undertaker',4.7,170
163,169,tt0000347,'Buffalo Bill\'s Wild West Parade',4.5,85
164,171,tt0000350,'The Countryman and the Cinematograph',5.8,636
165,172,tt0000353,'Execution of Czolgosz with Panorama of Auburn Prison',5.1,297
166,173,tt0000355,Fire!,6.1,588
167,174,tt0000357,'The Haunted Curiosity Shop',5.8,360
168,175,tt0000358,'Histoire d\'un crime',6.2,597
169,176,tt0000359,'L\'homme  la tte en caoutchouc',7.1,2563
170,177,tt0000363,'The Magic Sword',6.1,127
171,178,tt0000368,'Le petit chaperon rouge',6.1,9
172,179,tt0000370,'Scrooge; or Marley\'s Ghost',5.6,399
173,180,tt0000373,'Les sept chteaux du diable',6.2,56
174,181,tt0000376,'A tncz',7.0,6
175,182,tt0000377,'Undressing Extraordinary',6.1,100
176,183,tt0000379,'Visita de la escuadra inglesa a Barcelona',5.2,6
177,184,tt0000380,'La belle au bois dormant',7.2,13
178,185,tt0000384,'Les chiens savants',5.8,191
179,186,tt0000387,'The Coronation of Edward VII',5.1,295
180,187,tt0000388,'Danse excentrique',5.2,102
181,188,tt0000399,'Jack and the Beanstalk',6.0,657
182,189,tt0000407,'Procesin de las hijas de Mara de la parroquia de Sans',3.8,27
183,190,tt0000409,'Sage-femme de premire classe',5.2,174
184,191,tt0000410,'Demolishing and Building Up the Star Theatre',6.7,880
185,192,tt0000413,'Les trsors de satan',5.5,364
186,193,tt0000414,'Uncle Josh at the Moving Picture Show',5.3,656
187,194,tt0000416,'Les victimes de l\'alcoolisme',5.3,130
188,195,tt0000417,'Le voyage dans la lune',8.2,44126
189,196,tt0000420,'Alice in Wonderland',6.3,2371
190,197,tt0000423,'La bote  malice',5.4,192
191,198,tt0000425,'Buffalo Bill\'s Parade',5.2,10
192,199,tt0000430,'A Chess Dispute',5.9,613
193,200,tt0000432,'Comment monsieur prend son bain',5.6,169
194,201,tt0000436,'An Extraordinary Cab Accident',6.1,454
195,202,tt0000437,'Faust et Mphistophls',5.1,195
196,203,tt0000439,'The Great Train Robbery',7.3,17359
197,204,tt0000440,'La guirlande merveilleuse',5.4,184
198,205,tt0000441,'Gulliver en el pas de los gigantes',6.5,6
199,206,tt0000442,Henrettelsen,4.7,60
200,208,tt0000447,'Life of an American Fireman',6.4,2128
201,209,tt0000451,'Mary Jane\'s Mishap',6.5,773
202,210,tt0000455,'Le mlomane',6.8,1664
203,211,tt0000456,'N.Y. Fire Department Returning',4.2,38
204,212,tt0000464,'Rip Van Winkle',4.7,359
205,213,tt0000465,'Le royaume des fes',7.3,1224
206,214,tt0000469,'The Sick Kitten',5.8,911
207,215,tt0000471,'Uncle Tom\'s Cabin',5.1,411
208,216,tt0000472,'Uncle Tom\'s Cabin',6.4,13
209,217,tt0000479,'Buy Your Own Cherries',5.3,336
