,title,averageRating,numVotes
0,Carmencita,5.7,1676
2,'Pauvre Pierrot',6.5,1404
4,'Blacksmith Scene',6.2,2200
6,'Corbett and Courtney Before the Kinetograph',5.4,672
7,'Edison Kinetoscopic Record of a Sneeze',5.4,1851
9,'La sortie de l\'usine Lumire  Lyon',6.9,6191
11,'L\'arrive d\'un train  La Ciotat',7.4,10623
12,'Neuville-sur-Sane: Dbarquement du congrs des photographes  Lyon',5.7,1603
13,'L\'arroseur arros',7.1,4736
14,'Autour d\'une cabine',6.1,849
15,'Barque sortant du port',5.9,1225
19,'Les forgerons',5.1,913
20,'Baignade en mer',5.7,1174
22,'Partie d\'cart',5.7,1328
23,'Place des Cordeliers  Lyon',5.6,945
24,'La pche aux poissons rouges',5.2,877
25,'Repas de bb',6.0,2924
26,'Rough Sea at Dover',5.2,705
27,'Le saut  la couverture',5.5,851
29,'La voltige',5.6,870
32,'Awakening of Rip',4.4,503
35,'Bataille de neige',6.7,1509
50,'Dmolition d\'un mur',6.4,2313
55,'Escamotage d\'une dame au thtre Robert Houdin',6.3,1611
67,'Dpart de Jrusalem en chemin de fer',6.2,847
69,'Le manoir du diable',6.7,2922
95,'Une nuit terrible',5.8,1119
96,'Une partie de cartes',5.1,892
98,'L\'auberge ensorcele',6.5,903
115,'The X-Ray Fiend',6.1,710
125,'La lune  un mtre',7.5,3499
128,'L\'affaire Dreyfus',5.9,513
133,Cendrillon,6.5,1385
136,'La colonne de feu',6.2,597
138,'Le diable au couvent',6.3,953
139,'L\'impressionniste fin de sicle',6.4,921
141,'The Kiss in the Tunnel',6.0,1360
146,'As Seen Through a Telescope',5.6,696
152,'The Enchanted Drawing',6.9,1074
154,'Grandma\'s Reading Glass',6.0,1053
157,'How It Feels to Be Run Over',6.1,745
158,'Let Me Dream Again',5.8,679
164,'The Countryman and the Cinematograph',5.8,636
166,Fire!,6.1,588
168,'Histoire d\'un crime',6.2,597
169,'L\'homme  la tte en caoutchouc',7.1,2563
181,'Jack and the Beanstalk',6.0,657
184,'Demolishing and Building Up the Star Theatre',6.7,880
186,'Uncle Josh at the Moving Picture Show',5.3,656
188,'Le voyage dans la lune',8.2,44126
189,'Alice in Wonderland',6.3,2371
192,'A Chess Dispute',5.9,613
196,'The Great Train Robbery',7.3,17359
200,'Life of an American Fireman',6.4,2128
201,'Mary Jane\'s Mishap',6.5,773
202,'Le mlomane',6.8,1664
205,'Le royaume des fes',7.3,1224
206,'The Sick Kitten',5.8,911
212,'The Land Beyond the Sunset',6.9,710
216,'Rescued by Rover',6.7,1059
217,'Le voyage  travers l\'impossible',7.6,3141
224,'El hotel elctrico',6.5,868
227,'New York Subway',5.7,662
229,'The \'?\' Motorist',6.6,985
232,'Dream of a Rarebit Fiend',6.7,1709
236,'Humorous Phases of Funny Faces',6.2,1122
241,'Les quatre cents farces du diable',6.7,940
242,'The Story of the Kelly Gang',6.1,613
245,'Ben Hur',5.0,596
258,'Le spectre rouge',6.5,915
261,'That Fatal Sneeze',6.4,525
262,'The Adventures of Dollie',5.7,690
265,'L\'assassinat du duc de Guise',5.5,587
280,Fantasmagorie,6.9,2214
294,'Rescued from an Eagle\'s Nest',5.7,661
321,'A Corner in Wheat',6.6,2172
322,'The Country Doctor',6.4,554
357,'The Lonely Villa',6.1,828
381,'The Sealed Room',6.0,751
385,'Those Awful Hats',6.2,1078
393,Afgrunden,6.4,790
412,Frankenstein,6.4,3720
445,'The Unchanging Sea',6.4,643
454,'The Wonderful Wizard of Oz',5.7,1386
463,'Mest kinematograficheskogo operatora',7.7,2562
466,'A Christmas Carol',6.0,593
480,'His Trust: The Faithful Devotion and Self-Sacrifice of an Old Negro Servant',5.1,525
490,'The Lonedale Operator',6.5,1062
541,' la conqute du ple',6.9,849
546,'L\'Inferno',7.1,2354
550,'Dr. Jekyll and Mr. Hyde',5.9,551
566,'The Girl and Her Trust',6.7,1098
572,'How a Mosquito Operates',6.3,1091
589,'The Musketeers of Pig Alley',6.6,2027
591,'The New York Hat',6.4,785
596,'The Painted Lady',5.9,523
597,'Madame DuBarry',6.8,769
613,'An Unseen Enemy',6.6,774
627,'Bangville Police',5.4,712
641,'Fantmas -  l\'ombre de la guillotine',7.0,1992
660,'Ingeborg Holm',7.1,981
664,'Juve contre Fantmas',7.0,1379
675,'Le mort qui tue',7.0,1073
676,'The Mothering Heart',6.4,726
696,'Der Student von Prag',6.5,1834
697,Suspense,7.3,1399
704,'Traffic in Souls',6.0,567
727,'The Avenging Conscience: or \'Thou Shalt Not Kill\'',6.4,1137
729,'The Battle of Elderbush Gulch',6.1,743
732,'Between Showers',5.5,1436
737,'A Busy Day',4.8,995
739,Cabiria,7.1,3174
743,'Caught in a Cabaret',5.8,1205
744,'Caught in the Rain',5.7,852
746,Cinderella,6.0,935
757,'Dough and Dynamite',6.0,919
764,'The Face on the Barroom Floor',5.2,931
765,'Fantmas contre Fantmas',6.9,1180
766,'The Fatal Mallet',5.5,851
770,'Le faux magistrat',6.9,953
772,'A Film Johnnie',5.7,1383
779,'Gentlemen of Nerve',5.7,726
780,'Gertie the Dinosaur',7.1,2999
781,'Getting Acquainted',5.6,765
785,'Der Golem',6.8,1054
